Artist,Song,Date Released,Avg,# Ratings,Wants
Converge & Chelsea Wolfe,Bloodmoon: I,19 November 2021,3.59,2607,512
Arca,KicK iii,1 December 2021,3.72,3415,306
Richard Dawson & Circle,Henki,26 November 2021,3.57,1453,377
Ethereal Shroud,Trisagion,10 December 2021,3.79,1024,394
Kaatayra,Inpariquipê,26 November 2021,3.76,716,354
Arca,KICK ii,30 November 2021,3.26,2799,202
GAS,Der lange Marsch,3 December 2021,3.39,855,263
Arca,kiCK iiiii,3 December 2021,3.58,2062,192
100 Gecs,10000 Gecs,2022,-,inf,339
Adele,30,19 November 2021,2.93,2573,110
tricot,上出来 (Jodeki),15 December 2021,3.64,796,261
Mach-Hommy,Balens Cho (Hot Candles),4 December 2021,3.60,1367,224
DJ Sabrina the Teenage DJ,The Makin' Magick II Album,26 November 2021,3.68,801,210
Stormkeep,Tales of Othertime,19 November 2021,3.58,873,186
Arca,kick iiii,2 December 2021,3.14,1905,138
R.A.P. Ferreira,The Light Emitting Diamond Cutter Scriptures,26 November 2021,3.42,1018,191
Plebeian Grandstand,Rien ne suffit,19 November 2021,3.52,519,160
So Hideous,None But a Pure Heart Can Sing,3 December 2021,3.64,449,188
Rx Papi & Gud,Foreign Exchange,19 November 2021,3.57,1409,156
Chief Keef,4NEM,17 December 2021,3.54,960,162
Cynic,Ascension Codes,26 November 2021,3.32,567,116
Neil Young & Crazy Horse,Barn,10 December 2021,3.23,414,87
Obscura,A Valediction,19 November 2021,3.58,431,88
Burial,Antidawn EP,6 January 2022,2.50,7,177
Malignant Altar,Realms of Exquisite Morbidity,10 December 2021,3.74,395,127
Failure,Wild Type Droid,3 December 2021,3.55,457,112
Robert Plant | Alison KraussRobert PlantAlison Krauss,Raise the Roof,Robert PlantAlison Krauss,3.30,240,56
Exodus,Persona non grata,19 November 2021,3.41,349,64
Der Weg einer Freiheit,Noktvrn,19 November 2021,3.53,351,94
Swallow the Sun,Moonflowers,19 November 2021,3.54,358,74
Archgoat,Worship the Eternal Darkness,26 November 2021,3.54,374,71
David Bowie,Toy,26 November 2021,3.23,139,106
Don L,Roteiro pra Aïnouz (Vol. 2),26 November 2021,3.57,425,102
